id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_pkb,jumlah_pendapatan,satuan,tahun
100,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,PKB DENDA,12530424350,RUPIAH,2014
101,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,PKB POKOK,777952319000,RUPIAH,2014
102,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,PKB DENDA,33255927800,RUPIAH,2014
103,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,PKB POKOK,642611357500,RUPIAH,2014
104,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,PKB DENDA,27218825000,RUPIAH,2014
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,PKB POKOK,1899888793000,RUPIAH,2014
106,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,PKB DENDA,63189079000,RUPIAH,2014
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,PKB POKOK,4462630800000,RUPIAH,2014
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,PKB DENDA,140594758000,RUPIAH,2014
109,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,PKB POKOK,1382297238000,RUPIAH,2014
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,PKB DENDA,37590951150,RUPIAH,2014
111,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,PKB POKOK,169148676000,RUPIAH,2014
112,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,PKB DENDA,4720981000,RUPIAH,2014
113,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,PKB POKOK,1890322490500,RUPIAH,2014
114,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,PKB DENDA,52739846500,RUPIAH,2014
115,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,PKB POKOK,377502210500,RUPIAH,2014
116,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,PKB DENDA,12969218000,RUPIAH,2014
117,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I PJJRN,PKB POKOK,3163366211500,RUPIAH,2014
118,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I PJJRN,PKB DENDA,69577168500,RUPIAH,2014
119,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II KWLYN,PKB POKOK,3228706467000,RUPIAH,2014
120,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II KWLYN,PKB DENDA,71892972000,RUPIAH,2014
121,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III SOETA,PKB POKOK,2543265849000,RUPIAH,2014
122,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III SOETA,PKB DENDA,57871436750,RUPIAH,2014
123,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,PKB POKOK,793253777500,RUPIAH,2014
124,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,PKB DENDA,20887141000,RUPIAH,2014
